schema,object,constraint,referenced_schema,referenced_object,definition
ppiq_meta,ppiq_scim_group_members,ppiq_scim_group_members_user_id_fkey,ppiq_meta,ppiq_scim_users,FOREIGN KEY (user_id) REFERENCES ppiq_meta.ppiq_scim_users(id) ON DELETE CASCADE
ppiq_meta,ppiq_source_schema_snapshot_fields,ppiq_source_schema_snapshot_fields_snapshot_id_fkey,ppiq_meta,ppiq_source_schema_snapshots,FOREIGN KEY (snapshot_id) REFERENCES ppiq_meta.ppiq_source_schema_snapshots(snapshot_id) ON DELETE CASCADE
ppiq_meta,ppiq_sso_principals,ppiq_sso_principals_provider_id_fkey,ppiq_meta,ppiq_sso_provider_configs,FOREIGN KEY (provider_id) REFERENCES ppiq_meta.ppiq_sso_provider_configs(id) ON DELETE CASCADE
ppiq_meta,ppiq_sso_role_mappings,ppiq_sso_role_mappings_provider_id_fkey,ppiq_meta,ppiq_sso_provider_configs,FOREIGN KEY (provider_id) REFERENCES ppiq_meta.ppiq_sso_provider_configs(id) ON DELETE CASCADE
ppiq_meta,ppiq_visual_mapper_business_keys,ppiq_visual_mapper_business_keys_session_id_fkey,ppiq_meta,ppiq_visual_mapper_sessions,FOREIGN KEY (session_id) REFERENCES ppiq_meta.ppiq_visual_mapper_sessions(id) ON DELETE CASCADE
ppiq_meta,ppiq_visual_mapper_canonical_suggestions,ppiq_visual_mapper_canonical_suggestions_session_id_fkey,ppiq_meta,ppiq_visual_mapper_sessions,FOREIGN KEY (session_id) REFERENCES ppiq_meta.ppiq_visual_mapper_sessions(id) ON DELETE CASCADE
ppiq_meta,ppiq_visual_mapper_columns,ppiq_visual_mapper_columns_table_id_fkey,ppiq_meta,ppiq_visual_mapper_tables,FOREIGN KEY (table_id) REFERENCES ppiq_meta.ppiq_visual_mapper_tables(id) ON DELETE CASCADE
ppiq_meta,ppiq_visual_mapper_dry_runs,ppiq_visual_mapper_dry_runs_session_id_fkey,ppiq_meta,ppiq_visual_mapper_sessions,FOREIGN KEY (session_id) REFERENCES ppiq_meta.ppiq_visual_mapper_sessions(id) ON DELETE CASCADE
ppiq_meta,ppiq_visual_mapper_joins,ppiq_visual_mapper_joins_session_id_fkey,ppiq_meta,ppiq_visual_mapper_sessions,FOREIGN KEY (session_id) REFERENCES ppiq_meta.ppiq_visual_mapper_sessions(id) ON DELETE CASCADE
ppiq_meta,ppiq_visual_mapper_tables,ppiq_visual_mapper_tables_session_id_fkey,ppiq_meta,ppiq_visual_mapper_sessions,FOREIGN KEY (session_id) REFERENCES ppiq_meta.ppiq_visual_mapper_sessions(id) ON DELETE CASCADE
ppiq_meta,ppiq_visual_mapper_versions,ppiq_visual_mapper_versions_session_id_fkey,ppiq_meta,ppiq_visual_mapper_sessions,FOREIGN KEY (session_id) REFERENCES ppiq_meta.ppiq_visual_mapper_sessions(id) ON DELETE CASCADE
ppiq_meta,practice_details,fk_practice_details_version,ppiq_meta,definition_versions,FOREIGN KEY (definition_version_id) REFERENCES ppiq_meta.definition_versions(id) ON DELETE CASCADE
ppiq_meta,product_specifications,fk_product_specifications_parameter_definitions_parameter_defi,ppiq_meta,parameter_definitions,FOREIGN KEY (parameter_definition_id) REFERENCES ppiq_meta.parameter_definitions(id) ON DELETE RESTRICT
ppiq_meta,report_details,fk_report_details_version,ppiq_meta,definition_versions,FOREIGN KEY (definition_version_id) REFERENCES ppiq_meta.definition_versions(id) ON DELETE CASCADE
ppiq_meta,route_steps,fk_route_steps_operation_definitions_operation_definition_id,ppiq_meta,operation_definitions,FOREIGN KEY (operation_definition_id) REFERENCES ppiq_meta.operation_definitions(id) ON DELETE RESTRICT
ppiq_meta,route_steps,fk_route_steps_routes_route_id,ppiq_meta,routes,FOREIGN KEY (route_id) REFERENCES ppiq_meta.routes(id) ON DELETE CASCADE
ppiq_meta,routes,fk_routes_industry_templates_industry_template_id,ppiq_meta,industry_templates,FOREIGN KEY (industry_template_id) REFERENCES ppiq_meta.industry_templates(id) ON DELETE RESTRICT
