"RelativePath","Category","CategoryTitle","Classification","Extension","Lines","SizeBytes","SizeKB","LastWriteTime"
"Backend\PlantProcess.Application\Dashboarding\Interfaces\IDashboardQueryService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Interface",".cs","34","1192","1.16","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Dashboarding\Interfaces\IDashboardWidgetQueryService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Interface",".cs","14","392","0.38","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Dashboarding\Interfaces\IDashboardWidgetValidationService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Interface",".cs","13","346","0.34","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Dashboarding\Services\Dashboards\DashboardDefinitionService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Service",".cs","890","34100","33.3","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Dashboarding\Services\Metadata\DashboardMetadataService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Service",".cs","559","21943","21.43","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Dashboarding\Services\Queries\DashboardQueryService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Service",".cs","799","33863","33.07","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Dashboarding\Services\Queries\DashboardWidgetQueryService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Service",".cs","850","33754","32.96","5/21/2026 1:14:30 PM"
"Backend\PlantProcess.Application\Dashboarding\Services\Widgets\DashboardWidgetQuerySafetyRegistry.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Service",".cs","155","5934","5.79","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Dashboarding\Services\Widgets\DashboardWidgetValidationService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Service",".cs","139","5963","5.82","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\DependencyInjection.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","98","5141","5.02","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Contracts\Commands\BulkCreateStagingRecordsCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","18","456","0.45","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Integration\Contracts\Commands\CreateImportBatchCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","15","377","0.37","5/19/2026 12:19:14 AM"
