seq	tier	position	path	sha256_manifest	sha256_actual	sha_state	exec_state
16	scripts	8	Backend/database/scripts/115_phase2_integrity_audit.sql	7228C77AD5EA086D290995A2CDFFE3B94E563ADA074E0727D18CABE70D3F1340	7228C77AD5EA086D290995A2CDFFE3B94E563ADA074E0727D18CABE70D3F1340	MATCH	EXECUTED
17	scripts	9	Backend/database/scripts/116_phase2_operation_analytics_pilot_foundation.sql	3D4B93051A7896E40228A69CD161F78D99D0F0F6D7F86A75EB2CDA91C4603812	3D4B93051A7896E40228A69CD161F78D99D0F0F6D7F86A75EB2CDA91C4603812	MATCH	EXECUTED
18	scripts	10	Backend/database/scripts/117_phase8_widget_script_layer_entity_mapping.sql	7A34817836B28ECAE6E311809545BA08209C7F649D9222A6756431CEBE1DC4B3	7A34817836B28ECAE6E311809545BA08209C7F649D9222A6756431CEBE1DC4B3	MATCH	EXECUTED
19	scripts	11	Backend/database/scripts/120_phase02_canonical_schema_mapping_engine.sql	FD44C360B5FF1271D331ADFF2FDE0170750AF16A77B2550DD06B36B945416A95	FD44C360B5FF1271D331ADFF2FDE0170750AF16A77B2550DD06B36B945416A95	MATCH	EXECUTED
20	scripts	12	Backend/database/scripts/121_phase01_bootstrap_token_sweep.sql	487B42648AAB0C2EA39A758DA2915B716794BD9646195E44B409EE7F7946786F	487B42648AAB0C2EA39A758DA2915B716794BD9646195E44B409EE7F7946786F	MATCH	EXECUTED
21	scripts	13	Backend/database/scripts/141_phase03_page_builder_foundation.sql	DAB83821D4A36191EC9C591D35970A932EB069B77FADC4D94A2C645B81041606	DAB83821D4A36191EC9C591D35970A932EB069B77FADC4D94A2C645B81041606	MATCH	EXECUTED
22	scripts	14	Backend/database/scripts/200_phase02_ml_foundation_feature_store_pgvector.sql	054C427EB9E53BAF553850F309EC800C56DC6E7A2F107A058A850FC0A61AC274	054C427EB9E53BAF553850F309EC800C56DC6E7A2F107A058A850FC0A61AC274	MATCH	EXECUTED
23	scripts	15	Backend/database/scripts/201_phase02_ml_feature_store_v6_completion.sql	65687A04BC4111FBA10DD61DC4E34AB1F5F2463F26624051B2D6AB7ED10EF5F1	65687A04BC4111FBA10DD61DC4E34AB1F5F2463F26624051B2D6AB7ED10EF5F1	MATCH	EXECUTED
24	scripts	16	Backend/database/scripts/202_phase02_ml_compute_basic_correlations_hotfix.sql	8EBF0A75A2C0741106B153DBE2E46E23EBEAE232AFB53AECC71D1C29A3EA272A	8EBF0A75A2C0741106B153DBE2E46E23EBEAE232AFB53AECC71D1C29A3EA272A	MATCH	EXECUTED
25	scripts	17	Backend/database/scripts/203_phase02_ml_compute_v6_wrapper_hotfix.sql	0CEA67E9469DFE5798046B270E1127F95142A652F7796186D7BDB64E319E1F66	0CEA67E9469DFE5798046B270E1127F95142A652F7796186D7BDB64E319E1F66	MATCH	EXECUTED
26	scripts	18	Backend/database/scripts/204_phase04_phase05_ml_learning_core.sql	CF4851A64ACF90656DCE339863562BA78BD99C60ADCD3ED0DCF3EFB0CA8B2E57	CF4851A64ACF90656DCE339863562BA78BD99C60ADCD3ED0DCF3EFB0CA8B2E57	MATCH	EXECUTED
27	scripts	19	Backend/database/scripts/205_phase04_phase05_completion_governance_jobs_tests.sql	77769811D44D333E0188D41CFA180842033DBE6B3EFEA09B2A76D02B0831A9CF	77769811D44D333E0188D41CFA180842033DBE6B3EFEA09B2A76D02B0831A9CF	MATCH	EXECUTED
28	scripts	20	Backend/database/scripts/206_fix_dashboard_widget_definition_schema_drift.sql	1E49AE9FB80B26D58B6FA59DF4029EF08D47DFEAB000A639C03D2CCF9DC1F5F0	1E49AE9FB80B26D58B6FA59DF4029EF08D47DFEAB000A639C03D2CCF9DC1F5F0	MATCH	EXECUTED
