"onDemoPath","page","route","controlType","label","classification","handler","file","line"
"no","pages/MaterialInvestigation","(component)","StandardButton","(no label)","UNMOUNTED","() => setActiveTab(tab.key)","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","281"
"no","pages/MaterialInvestigation","(component)","StandardButton","(no label)","UNMOUNTED","loadBusinessKeys","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","322"
"no","pages/MaterialInvestigation","(component)","StandardButton","(no label)","UNMOUNTED","runMappingLifecycle","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","338"
"no","pages/MaterialInvestigation","(component)","StandardButton","(no label)","UNMOUNTED","","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","362"
"no","pages/MaterialInvestigation","(component)","StandardButton","(no label)","UNMOUNTED","loadGenealogy","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","379"
"no","pages/MaterialInvestigation","(component)","StandardButton","(no label)","UNMOUNTED","runMappingLifecycle","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","395"
"no","pages/MaterialInvestigation","(component)","StandardButton","(no label)","UNMOUNTED","","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","419"
"no","pages/MaterialInvestigation","(component)","StandardP2Input","Enter a material key","UNMOUNTED","(event) => setMaterialKey(event.target.value)","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","414"
"no","pages/MaterialInvestigation","(component)","StandardP2TextArea","(no label)","UNMOUNTED","(event) => setSqlText(event.target.value)","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","357"
"no","pages/PageBuilder","(component)","StandardButton","Save page definition","UNMOUNTED","savePageDefinition","Frontend\PlantProcess.Web\src\pages\PageBuilder\PageBuilderPage.implementation.tsx","191"
"no","pages/PageBuilder","(component)","StandardButton","Load by slug","UNMOUNTED","loadPageDefinition","Frontend\PlantProcess.Web\src\pages\PageBuilder\PageBuilderPage.implementation.tsx","195"
