"Fingerprint","RelativePath","LineNumber","Category","RiskLevel","RefactorTrack","Evidence","Status"
"485C0EC0B027DBA4","Backend\PlantProcess.Api\Endpoints\Analytics\MlLearningEndpoints.cs","257","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await using var reader = await command.ExecuteReaderAsync(cancellationToken);","REMAINING_IN_API"
"8508B204B8058C45","Backend\PlantProcess.Api\Endpoints\Analytics\Phase2InvestigationEndpoints.cs","172","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await using var reader = await command.ExecuteReaderAsync(cancellationToken);","REMAINING_IN_API"
"C5CCAEF73552939B","Backend\PlantProcess.Api\Endpoints\Analytics\Phase2InvestigationEndpoints.cs","223","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","SELECT DISTINCT","REMAINING_IN_API"
"C4D26E377BF94C6D","Backend\PlantProcess.Api\Endpoints\Analytics\Phase2InvestigationEndpoints.cs","254","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await using var reader = await command.ExecuteReaderAsync(cancellationToken);","REMAINING_IN_API"
"219FFFD704E62139","Backend\PlantProcess.Api\Endpoints\Analytics\Phase2InvestigationEndpoints.cs","317","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await using var reader = await command.ExecuteReaderAsync(cancellationToken);","REMAINING_IN_API"
"F8103AA34C69515B","Backend\PlantProcess.Api\Endpoints\Analytics\ProvenanceGuardedAdvancedResultsEndpoints.cs","28","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT id, engine_key, target_outcome_key, COALESCE(status,'Unknown'), COALESCE(duration_ms,0) "" +","REMAINING_IN_API"
"AB498F14B80CB63C","Backend\PlantProcess.Api\Endpoints\Analytics\ProvenanceGuardedAdvancedResultsEndpoints.cs","34","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await using var reader = await cmd.ExecuteReaderAsync(ct);","REMAINING_IN_API"
"B69AA234E90DF8EA","Backend\PlantProcess.Api\Endpoints\Analytics\ReadModelEndpoints.cs","19","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT site_id, area_id, area_code, area_name, downtime_event_count, downtime_minutes "" +","REMAINING_IN_API"
"164FA652399972A7","Backend\PlantProcess.Api\Endpoints\Analytics\ReadModelEndpoints.cs","24","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT site_id, equipment_id, equipment_code, equipment_name, equipment_type, stoppage_count, stoppage_minutes "" +","REMAINING_IN_API"
"83B141F44BBA806E","Backend\PlantProcess.Api\Endpoints\Analytics\ReadModelEndpoints.cs","29","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT site_id, production_day_utc, product_family, material_count "" +","REMAINING_IN_API"
